k,n,tt,include,display,element,coefficient,reference,TodaBracket,Indeterminacy1,Indeterminacy2
2,3,0,2 2,η3^2,"1 , 2 , 1","2 , 1 , 2","Cor 3.7, \ E\beta\circ\eta_{m+k+1}\in\{ r\iota_{m+1} , E\beta , r\iota_{m+k+1}\}_1 \ , \ if \ r\equiv 2 \mod4","{2ι3,η3,2ι4}",(2ι3)π5^3 + π5^3E(2ι4),0
3,3,0,3,ν',"2 , 1 , 2","1 , 2 , 1","(5.4), \ \{\eta_n , 2\iota_{n+1} , \eta_{n+1}\}_t = \{E^{n-3}\nu' , -E^{n-3}\nu'\} \ , \ n\geq3","{η3,2ι4,η4}",η3π6^4 + π5^3Eη4,Z2{ 2ν' }
5,6,0,5,P(ι13),"4 , 2 , 1","1 , 1 , 2","Lem 5.10, \ \Delta(\iota_{13})\in\{\nu_6 , \eta_9 , 2\iota_{10}\}\in\pi_{11}(S^6)/2\pi_{11}(S^6)","{ν6,η9,2ι10}",ν6π11^9 + π11^6E(2ι10),Z{ 2P(ι13) }
5,3,1,0,0,"2 , 3 , 1","1 , 1 , 8","p55, \ 0\in\{\eta_3 , E\nu' , 8\iota_7\}_1",,,
6,6,0,4 4,ν6^2,"2 , 4 , 2","1 , 1 , 1","Lem 5.12, \ \{\eta_n , \nu_{n+1} , \eta_{n+4} \} = \nu_{n}^2 \ , \ for \ n\geq6","{η6,ν7,η10}",η6π12^7 + π11^6Eη10,0
7,5,3,6,σ''',"4 , 1 , 4","1 , 8 , 1","Lem 5.13, \ \{\nu_5 , 8\iota_8 , \nu_8 \}_t = \sigma''' \ , \ 0\leq t\leq 3","{ν5,8ι8,ν8}",ν5E^3π9^5 + π9^5E^4ν5,0
7,3,1,0,0,"3 , 1 , 4","1 , 8 , 1","p56, \ 0=\{\nu' , 8\iota_6 , \nu_6\}_1\subset\pi_{10}^3=0",,,
8,7,5,11,ν̅7,"4 , 2 , 4","1 , 1 , 1","Lem 6.2, \ \{\nu_n , \eta_{n+3} , \nu_{n+4}\}_t=\overline{\nu}_n \ , \ n\geq7 \ , \ 0\leq t\leq n-2","{ν7,η10,ν11}",ν7E^5π10^5 + π12^7E^6ν6,0
8,6,4,11,ν̅6,"4 , 2 , 4","1 , 1 , 1","p53 \ Def, \ \overline{\nu}_6 \in\{\nu_6 , \eta_9 , \nu_{10}\}_t\in\pi_{14}^6/\{\Delta(\nu_{13})\} \ , \ 0\leq t\leq 4","{ν6,η9,ν10}",ν6E^4π10^5 + π11^6E^5ν6,Z4{ 2ν̅6 }
8,5,8,10,ε5,"4 4 , 1 , 2","1 1 , 2 , 1","(7.6), \ \varepsilon_{n}\in\{\nu_n^2 , 2\iota_{n+6} , \eta_{n+6}\}_t \ , \ n\geq5","{ν5^2,2ι11,η11}",ν5^2E^8π5^3 + π12^5E^9η3,0
8,5,1,10,ε5,"1 , 4 4 , 2","2 , 1 1 , 1","(7.6), \ \varepsilon_{n}\in\{2\iota_n , \nu_{n}^2 , \eta_{n+6}\}_t \ , \ n\geq5","{2ι5,ν5^2,η11}",(2ι5)Eπ12^4 + π12^5E^2η10,0
8,5,2,10,ε5,"4 , 4 , 2","2 , 1 , 1","(7.6), \ \varepsilon_{n}\in\{2\nu_n , \nu_{n+3} , \eta_{n+6}\}_t \ , \ n\geq5","{2ν5,ν8,η11}",(2ν5)E^2π11^6 + π12^5E^3η9,0
8,4,1,10,ε4,"3 , 4 , 2","1 , 1 , 1","(7.6), \ \{E\nu' , \nu_7 , \eta_{10}\}_1=\varepsilon_4","{Eν',ν7,η10}",Eν'Eπ11^6 + π11^4E^2η9,0
8,3,1,10,ε3,"2 , 3 , 4","1 , 1 , 1","p51 \ Def, \ \varepsilon_3 = \{\eta_3 , E\nu' , \nu_7\}_1","{η3,Eν',ν7}",η3Eπ10^3 + π8^3E^2ν6,0
8,4,2,10,ε4,"2 , 4 , 4","1 , 2 , 1","(6.1), \ \varepsilon_{n}\in\{\eta_{n}, 2\nu_{n+1}, \nu_{n+4}\}_t \ , \ for \ n\geq4 \ , \ 0\leq t\leq n-2","{η4,2ν5,ν8}",η4E^2π10^3 + π9^4E^3ν6,0
