k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
2,,,,,,,,,,
3,3.0,2 2 2,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(5.3), \ \eta_{3}^{3}=2\nu'",2.0,\eta3^3,2\nu',,
3,3.0,2 2 2 1,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(5.3), \ \eta_{3}^{3}=2\nu'",0.0,\eta3^3(2\iota6),0,*,
3,4.0,2 2 2,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"(5.3), \ \eta_{3}^{3}=2\nu'",2.0,,2E\nu',,
3,4.0,2 2 2 1,1.0,0 0 0 0 0 0 0 0 0 0 0 0,,0.0,\eta4^3(2\iota7),0,*,
3,5.0,3,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(5.5), \ E^2\nu'=2\nu_5",4.0,E^2\nu',2\nu5,,
3,3.0,2 2 2,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(5.3), \ \eta_{3}^{3}=2\nu'",2.0,\eta3^3,2\nu',,
3,5.0,3,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(5.5), \ E^2\nu'=2\nu_5",4.0,E^2\nu',2\nu5,,
4,3.0,2 3,1.0,0 0 0 0 0 0 0 0 0 0 0 0,E (\eta_2\nu')=0,0.0,\eta3E\nu',0,,
4,5.0,3 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,E(E \nu'\eta_7)=0,0.0,E^2\nu'\eta8,0,,
4,3.0,2 4,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"(5.9), \ \eta_{3}\nu_{4}=\nu'\eta_{6}",2.0,\eta3\nu4,\nu'\eta6,,
4,4.0,2 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(5.9), \ \eta_{3}\nu_{4}=\nu'\eta_{6}",2.0,\eta4\nu5,E\nu'\eta7,,
4,5.0,2 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(5.9), \ \eta_5\nu_6=0",0.0,\eta5\nu6,0,,
4,6.0,2 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_6\nu_7=\nu_6\eta_9",0.0,\eta6\nu7,0,,
